h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
1.603163e-02	1.518220e-02	1.097663e-01	9.772902e-02	6.855765e-04	9	
1.706606e-02	1.779004e-02	5.788387e-01	5.970553e-01	7.306936e-04	10	
6.948519e-02	4.665556e-02	7.640768e-01	5.492893e-01	7.217666e-04	11	
6.591494e-02	2.898690e-02	9.359032e-01	8.522757e-01	7.439926e-04	12	
1.602354e-02	1.012497e-02	8.468935e-01	7.232000e-01	7.167908e-04	11	
5.522490e-02	4.132488e-02	6.648259e-01	5.472316e-01	7.512312e-04	10	
1.208768e-01	9.096183e-02	4.001405e-01	1.921116e-01	7.469639e-04	10	
5.593827e-02	4.892328e-02	7.112163e-03	5.607893e-03	7.157601e-04	8	
2.269440e-02	1.928633e-02	3.054759e-01	2.122521e-01	7.481365e-04	9	
3.256823e-02	2.767907e-02	2.252117e-01	6.034929e-02	7.002902e-04	7	
1.404876e-02	1.151065e-02	4.744280e-01	3.318110e-01	7.461514e-04	8	
1.963198e-02	1.459652e-02	3.371090e-01	1.128380e-01	7.226546e-04	8	
1.410813e-03	1.320839e-03	5.858417e-01	5.752220e-01	6.297157e-04	9	
3.767529e-02	1.736281e-02	9.870099e-01	9.724624e-01	6.719988e-04	8	
1.784161e-02	7.526807e-03	9.716441e-01	9.470119e-01	6.659359e-04	9	
3.900538e-02	1.617219e-02	8.895291e-01	7.239655e-01	7.184424e-04	11	
3.900538e-02	1.617219e-02	8.895291e-01	7.239655e-01	7.184424e-04	11	
1.690260e-01	1.178370e-01	2.343788e-01	5.915887e-02	7.149759e-04	8	
2.591594e-04	1.939818e-04	3.823013e-01	2.193215e-01	7.210290e-04	9	
2.591594e-04	1.939818e-04	3.823013e-01	2.193215e-01	7.210290e-04	9	
2.591594e-04	1.939818e-04	3.823013e-01	2.193215e-01	7.210290e-04	9	
2.591594e-04	1.939818e-04	3.823013e-01	2.193215e-01	7.210290e-04	9	
2.607148e-02	1.958858e-02	5.075585e-01	2.685035e-01	6.925579e-04	10	
2.607148e-02	1.958858e-02	5.075585e-01	2.685035e-01	6.925579e-04	10	
7.969628e-03	7.592775e-03	4.316214e-01	3.112484e-01	6.975238e-04	9	
7.969628e-03	7.592775e-03	4.316214e-01	3.112484e-01	6.975238e-04	9	
4.235288e-03	4.220222e-03	1.402360e-01	1.929667e-01	7.022128e-04	9	
3.511982e-02	3.593963e-02	6.932364e-02	3.018684e-02	7.635910e-04	11	
8.470412e-02	6.584137e-02	3.853172e-01	2.069032e-01	8.158103e-04	9	
8.430243e-02	6.232788e-02	2.413287e-01	3.467850e-02	8.016520e-04	9	
7.920341e-02	7.408997e-02	1.899634e-01	1.555252e-01	7.483651e-04	9	
9.921285e-04	1.024487e-03	4.758741e-02	2.371567e-02	7.570546e-04	9	
9.921285e-04	1.024487e-03	4.758741e-02	2.371567e-02	7.570546e-04	9	
2.093299e-02	2.141583e-02	4.607138e-02	5.997844e-02	7.318376e-04	9	
2.093299e-02	2.141583e-02	4.607138e-02	5.997844e-02	7.318376e-04	9	
1.322525e-01	1.223059e-01	2.496232e-01	2.220103e-01	7.008742e-04	9	
2.420547e-03	2.045196e-03	3.928866e-01	3.664648e-01	7.032357e-04	8	
4.251066e-02	3.550811e-02	3.685575e-01	2.543839e-01	6.956791e-04	7	
1.897900e-01	1.807155e-01	9.677716e-02	3.349124e-02	7.188285e-04	10	
1.085373e-01	9.903436e-02	6.762301e-02	3.412808e-02	7.566133e-04	10	
1.646150e-01	1.756277e-01	6.866605e-02	4.214941e-02	7.722808e-04	12	
1.658731e-01	1.037682e-01	8.377482e-01	6.941219e-01	6.584794e-04	10	
