h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
1.792405e-02	2.052527e-02	7.728357e-01	8.360424e-01	1.806009e-03	34	
5.191387e-03	4.299041e-03	6.790094e-01	6.541440e-01	1.764301e-03	33	
5.191387e-03	4.299041e-03	6.790094e-01	6.541440e-01	1.764301e-03	33	
6.378859e-03	9.513826e-03	6.190874e-01	7.333871e-01	1.716104e-03	32	
6.378859e-03	9.513826e-03	6.190874e-01	7.333871e-01	1.716104e-03	32	
6.378859e-03	9.513826e-03	6.190874e-01	7.333871e-01	1.716104e-03	32	
1.449894e-02	1.646452e-02	6.488817e-01	6.616773e-01	1.716275e-03	32	
1.919438e-02	2.517181e-02	6.327888e-01	7.259255e-01	1.694785e-03	31	
4.434409e-02	3.323223e-02	7.423001e-01	6.549066e-01	1.652710e-03	30	
4.434409e-02	3.323223e-02	7.423001e-01	6.549066e-01	1.652710e-03	30	
6.109686e-02	5.728613e-02	5.400294e-01	5.243464e-01	1.703522e-03	31	
3.135972e-02	2.879443e-02	5.498186e-01	5.412577e-01	1.822922e-03	32	
4.854716e-02	5.125228e-02	3.474875e-01	4.037015e-01	1.821037e-03	31	
2.713120e-02	2.698222e-02	2.142453e-01	1.462996e-01	1.982785e-03	31	
2.713120e-02	2.698222e-02	2.142453e-01	1.462996e-01	1.982785e-03	31	
2.713120e-02	2.698222e-02	2.142453e-01	1.462996e-01	1.982785e-03	31	
2.639012e-02	2.351516e-02	2.959370e-01	2.788777e-01	1.977185e-03	30	
6.827754e-02	5.304678e-02	6.724284e-01	5.565201e-01	1.860525e-03	30	
2.526194e-02	2.216448e-02	6.287175e-01	6.243740e-01	1.800591e-03	32	
2.807344e-02	2.928457e-02	6.887857e-01	6.931208e-01	2.017833e-03	34	
2.807344e-02	2.928457e-02	6.887857e-01	6.931208e-01	2.017833e-03	34	
4.276095e-02	4.592950e-02	3.354971e-01	4.013719e-01	2.227199e-03	33	
5.243562e-02	4.444152e-02	7.529175e-01	6.713587e-01	2.360622e-03	32	
1.132758e-02	8.642932e-03	7.340778e-01	7.120210e-01	2.325732e-03	33	
6.267739e-02	4.396737e-02	6.525120e-01	5.223285e-01	2.468262e-03	31	
6.425872e-02	6.244393e-02	3.896487e-01	4.054274e-01	2.436537e-03	33	
2.019540e-02	2.155468e-02	3.683827e-01	3.726385e-01	2.381585e-03	34	
3.111251e-02	2.540931e-02	4.194651e-01	3.051099e-01	2.419554e-03	33	
3.468408e-02	3.377976e-02	1.406991e-01	1.088737e-01	2.523227e-03	33	
3.468408e-02	3.377976e-02	1.406991e-01	1.088737e-01	2.523227e-03	33	
6.471193e-02	6.460054e-02	4.678939e-01	4.635846e-01	2.701386e-03	34	
5.382115e-02	5.474246e-02	2.253002e-01	2.141979e-01	2.808123e-03	37	
5.348348e-02	4.805250e-02	4.258625e-01	3.346439e-01	2.822839e-03	37	
1.205704e-01	9.462656e-02	4.788232e-01	4.425264e-01	2.822585e-03	36	
5.428975e-02	6.268480e-02	4.668422e-01	5.698150e-01	2.661777e-03	37	
3.671515e-02	4.086411e-02	3.714387e-01	3.798890e-01	2.703608e-03	36	
2.201714e-03	1.883355e-03	5.666662e-01	4.906530e-01	2.428567e-03	34	
4.783375e-02	5.711356e-02	5.995016e-01	6.293159e-01	2.076100e-03	34	
4.459834e-02	3.223105e-02	7.411344e-01	6.055249e-01	2.056061e-03	33	
4.072512e-02	4.441308e-02	7.128323e-01	7.540521e-01	2.129215e-03	34	
4.072512e-02	4.441308e-02	7.128323e-01	7.540521e-01	2.129215e-03	34	
8.170117e-02	7.721310e-02	7.543140e-01	7.533248e-01	2.058403e-03	36	
4.539255e-02	4.314771e-02	8.002309e-01	7.678327e-01	2.036404e-03	35	
5.250309e-03	7.539853e-03	9.820967e-01	9.871566e-01	2.010568e-03	32	
4.222480e-02	3.903647e-02	8.932886e-01	8.919279e-01	1.922561e-03	32	
3.720257e-02	2.546719e-02	8.822749e-01	8.467813e-01	2.013203e-03	33	
6.353741e-02	6.359145e-02	9.643749e-01	9.635608e-01	2.006988e-03	34	
1.999926e-02	1.996999e-02	9.214416e-01	9.158733e-01	1.973500e-03	32	
5.020560e-03	4.721998e-03	5.820089e-01	4.753963e-01	1.906917e-03	33	
2.256807e-01	2.025016e-01	3.546052e-01	3.215905e-01	1.814327e-03	33	
4.238140e-02	4.319426e-02	3.300802e-01	2.885361e-01	1.781781e-03	30	
1.195007e-01	1.119632e-01	6.232961e-01	6.263477e-01	1.787649e-03	29	
3.574506e-02	3.433218e-02	5.291081e-01	4.478371e-01	1.866969e-03	27	
3.744985e-02	2.526643e-02	6.184426e-01	4.522268e-01	1.830483e-03	26	
7.478094e-02	6.847210e-02	4.504886e-01	4.720089e-01	1.651341e-03	27	
1.539996e-01	1.150625e-01	5.269057e-01	4.321196e-01	1.596748e-03	26	
4.500163e-03	3.853620e-03	2.814934e-01	3.084840e-01	1.607893e-03	26	
2.295674e-02	2.494475e-02	1.609884e-01	1.381939e-01	1.598794e-03	27	
5.803054e-02	6.089716e-02	3.304744e-01	4.009246e-01	1.740325e-03	25	
1.398340e-01	1.027646e-01	9.715373e-01	9.607726e-01	1.453788e-03	26	
4.045952e-02	4.107290e-02	6.493423e-01	6.793197e-01	1.592475e-03	25	
2.027514e-02	1.682440e-02	6.518261e-01	5.931374e-01	1.566848e-03	26	
2.542637e-02	1.929329e-02	5.956337e-01	4.815331e-01	1.498958e-03	23	
6.134634e-02	6.674411e-02	7.712730e-01	8.375846e-01	1.406685e-03	23	
5.038484e-02	5.090032e-02	9.763332e-01	9.747931e-01	1.440495e-03	23	
6.557377e-02	4.344422e-02	7.589160e-01	6.667185e-01	1.443647e-03	22	
6.271486e-02	4.793376e-02	8.770429e-01	8.449326e-01	1.495611e-03	23	
4.373779e-02	4.070146e-02	7.481048e-01	6.802050e-01	1.427287e-03	24	
4.373779e-02	4.070146e-02	7.481048e-01	6.802050e-01	1.427287e-03	24	
5.144731e-02	4.833786e-02	9.101101e-01	9.088343e-01	1.429019e-03	23	
5.144731e-02	4.833786e-02	9.101101e-01	9.088343e-01	1.429019e-03	23	
4.176187e-02	3.688023e-02	9.076309e-01	8.863856e-01	1.403642e-03	24	
7.045295e-02	5.329886e-02	8.523126e-01	8.112648e-01	1.565056e-03	24	
9.215020e-02	7.217352e-02	4.036489e-01	3.098242e-01	1.515907e-03	25	
2.124344e-03	1.677807e-03	6.682864e-01	5.263705e-01	1.481430e-03	22	
3.305433e-02	2.347312e-02	8.470475e-01	7.542489e-01	1.622159e-03	21	
7.044463e-02	5.846568e-02	9.439297e-01	9.160808e-01	1.698559e-03	23	
6.292108e-02	6.455214e-02	8.602429e-01	8.680160e-01	1.635877e-03	24	
4.623185e-02	4.223567e-02	8.700911e-01	8.741314e-01	1.532138e-03	25	
6.426900e-02	6.481882e-02	7.745851e-01	7.937504e-01	1.399138e-03	22	
9.234427e-02	6.904831e-02	8.693937e-01	8.275704e-01	1.361960e-03	21	
5.244606e-02	4.859155e-02	3.439749e-01	1.986602e-01	1.490089e-03	21	
1.449026e-01	1.311122e-01	1.135793e-01	1.909290e-01	1.510064e-03	19	
7.107752e-02	6.774209e-02	6.795544e-02	5.759239e-02	1.566141e-03	20	
4.852281e-02	4.406988e-02	1.943249e-01	1.623610e-01	1.602913e-03	22	
7.018294e-02	5.356503e-02	4.410555e-01	3.316034e-01	1.432796e-03	19	
5.033346e-02	2.920738e-02	8.873475e-01	8.272239e-01	1.523374e-03	20	
1.093358e-01	7.485596e-02	6.245059e-01	4.203088e-01	1.627026e-03	23	
2.516789e-02	1.170622e-02	8.599564e-01	7.423312e-01	1.562622e-03	21	
4.977829e-02	3.986713e-02	9.697445e-01	9.608154e-01	1.455970e-03	18	
4.520898e-02	3.968176e-02	9.900481e-01	9.888301e-01	1.438743e-03	17	
3.064204e-02	2.719980e-02	6.181039e-01	5.566270e-01	1.526826e-03	19	
4.884415e-02	3.825556e-02	6.412537e-01	5.363774e-01	1.335304e-03	21	
5.821740e-02	6.543297e-02	6.087198e-01	6.525042e-01	1.282818e-03	20	
1.345105e-02	1.350082e-02	5.097202e-01	5.541200e-01	1.262017e-03	19	
3.220128e-02	3.435170e-02	5.373929e-01	5.107177e-01	1.369046e-03	19	
9.085602e-02	6.619669e-02	5.998527e-01	4.553560e-01	1.310593e-03	20	
1.525424e-02	1.559927e-02	3.473732e-01	3.891597e-01	1.261701e-03	21	
1.422989e-01	1.306364e-01	3.514198e-01	2.434876e-01	1.165926e-03	20	
7.697917e-02	6.556105e-02	6.668882e-01	5.587034e-01	1.062448e-03	20	
4.603699e-03	4.311010e-03	9.512806e-01	9.428795e-01	1.086895e-03	20	
3.619495e-02	3.725332e-02	7.798746e-01	7.948095e-01	1.171196e-03	21	
3.282434e-02	4.025371e-02	7.801731e-01	7.967086e-01	1.161191e-03	21	
3.282434e-02	4.025371e-02	7.801731e-01	7.967086e-01	1.161191e-03	21	
4.073523e-02	3.480065e-02	5.712622e-01	4.705529e-01	1.151256e-03	20	
5.194688e-02	5.496013e-02	5.770053e-01	6.915465e-01	1.096318e-03	20	
7.805315e-02	4.998784e-02	5.720074e-01	3.573099e-01	1.090829e-03	17	
6.983023e-02	5.347073e-02	4.914473e-01	4.529966e-01	1.112104e-03	18	
5.332155e-02	5.398413e-02	5.007433e-01	5.049848e-01	1.090331e-03	16	
9.362931e-02	5.358942e-02	9.418181e-01	9.087588e-01	1.038990e-03	14	
8.291698e-02	7.366175e-02	9.547106e-01	9.474253e-01	9.983865e-04	15	
9.590321e-02	5.680752e-02	8.894559e-01	8.199498e-01	9.399442e-04	15	
8.313385e-02	5.645880e-02	7.672742e-01	6.780071e-01	8.987790e-04	15	
1.267917e-02	1.241591e-02	7.126869e-01	6.476711e-01	8.765389e-04	15	
3.940241e-02	3.230582e-02	6.556991e-01	5.685796e-01	9.159205e-04	15	
3.940241e-02	3.230582e-02	6.556991e-01	5.685796e-01	9.159205e-04	15	
1.359915e-02	1.556340e-02	8.434394e-01	8.416893e-01	9.465425e-04	14	
4.247732e-02	2.864728e-02	9.061185e-01	8.542020e-01	9.820509e-04	17	
7.616548e-02	4.705456e-02	7.579380e-01	6.229279e-01	9.606256e-04	16	
2.748302e-02	2.526018e-02	3.413239e-01	2.319781e-01	9.490719e-04	15	
1.785027e-02	1.707534e-02	3.423025e-01	3.100076e-01	9.084940e-04	14	
7.539126e-02	6.860240e-02	4.160081e-01	4.860822e-01	9.639205e-04	17	
1.741268e-02	1.891445e-02	5.571240e-01	6.029781e-01	9.374841e-04	17	
1.464827e-04	1.014573e-04	7.211151e-01	6.343031e-01	9.714841e-04	18	
1.464827e-04	1.014573e-04	7.211151e-01	6.343031e-01	9.714841e-04	18	
2.655055e-03	3.184701e-03	5.791307e-01	6.497796e-01	9.699113e-04	17	
2.655055e-03	3.184701e-03	5.791307e-01	6.497796e-01	9.699113e-04	17	
2.655055e-03	3.184701e-03	5.791307e-01	6.497796e-01	9.699113e-04	17	
2.655055e-03	3.184701e-03	5.791307e-01	6.497796e-01	9.699113e-04	17	
4.229020e-02	5.020491e-02	4.293748e-01	4.807165e-01	1.001313e-03	16	
3.036447e-02	2.684267e-02	6.967159e-01	6.526631e-01	9.303218e-04	16	
2.143153e-03	7.454471e-04	9.795685e-01	9.494620e-01	9.390023e-04	16	
2.143153e-03	7.454471e-04	9.795685e-01	9.494620e-01	9.390023e-04	16	
2.143153e-03	7.454471e-04	9.795685e-01	9.494620e-01	9.390023e-04	16	
2.073611e-01	1.378889e-01	9.154821e-01	8.606842e-01	1.119810e-03	20	
3.839424e-02	4.903666e-02	5.575841e-01	6.477482e-01	1.182223e-03	24	
8.111597e-02	6.442206e-02	5.812653e-01	5.374229e-01	1.272704e-03	20	
6.619552e-02	7.344205e-02	1.891676e-01	1.487779e-01	1.294550e-03	23	
1.600173e-02	1.512235e-02	1.727521e-01	8.071039e-02	1.225944e-03	21	
1.106615e-01	1.092545e-01	3.755703e-01	3.971790e-01	1.199298e-03	22	
1.226865e-01	1.384391e-01	2.334816e-01	3.110390e-01	1.230565e-03	22	
1.139459e-01	1.364682e-01	4.542705e-01	5.085588e-01	1.436176e-03	25	
8.662152e-02	8.343431e-02	2.990765e-01	3.600661e-01	1.468701e-03	26	
8.819896e-03	9.462459e-03	3.004374e-01	4.049959e-01	1.435878e-03	26	
5.352928e-02	5.129834e-02	4.958626e-01	5.593888e-01	1.456078e-03	27	
3.127400e-02	3.028476e-02	5.985498e-01	5.791891e-01	1.644418e-03	25	
6.892738e-03	6.290375e-03	8.803637e-01	8.610922e-01	1.554739e-03	22	
9.855105e-03	7.372115e-03	5.974282e-01	4.736601e-01	1.611288e-03	19	
9.855105e-03	7.372115e-03	5.974282e-01	4.736601e-01	1.611288e-03	19	
9.855105e-03	7.372115e-03	5.974282e-01	4.736601e-01	1.611288e-03	19	
4.103522e-03	3.480536e-03	6.395178e-01	5.703168e-01	1.547240e-03	20	
4.103522e-03	3.480536e-03	6.395178e-01	5.703168e-01	1.547240e-03	20	
3.692031e-02	1.575570e-02	8.715023e-01	6.915263e-01	1.576346e-03	21	
2.925780e-02	1.901468e-02	7.016019e-01	5.051813e-01	1.552287e-03	21	
3.648517e-02	2.858814e-02	9.907457e-01	9.894142e-01	1.635598e-03	22	
3.987574e-02	2.891905e-02	8.602647e-01	8.301142e-01	1.574661e-03	23	
1.012753e-02	9.214240e-03	5.733294e-01	5.610473e-01	1.571316e-03	20	
1.976352e-02	1.670678e-02	7.955766e-01	7.558115e-01	1.502811e-03	19	
6.203079e-02	4.569377e-02	7.691750e-01	6.270049e-01	1.401653e-03	22	
4.660248e-02	4.144754e-02	7.090804e-01	6.730493e-01	1.299823e-03	20	
9.667945e-02	5.542837e-02	9.564675e-01	9.188266e-01	1.227070e-03	20	
4.034103e-02	4.945905e-02	8.499607e-01	8.826552e-01	1.156105e-03	18	
5.490480e-02	3.882257e-02	9.754015e-01	9.655948e-01	1.119965e-03	19	
5.490480e-02	3.882257e-02	9.754015e-01	9.655948e-01	1.119965e-03	19	
5.490480e-02	3.882257e-02	9.754015e-01	9.655948e-01	1.119965e-03	19	
2.453734e-02	2.364917e-02	7.982284e-01	7.920973e-01	1.065854e-03	21	
2.453734e-02	2.364917e-02	7.982284e-01	7.920973e-01	1.065854e-03	21	
3.413140e-02	5.240421e-02	7.533211e-01	8.501975e-01	1.037981e-03	25	
6.846467e-02	9.131607e-02	4.602603e-01	5.935658e-01	1.054065e-03	26	
7.608322e-02	8.078432e-02	1.425798e-01	2.579862e-01	1.102123e-03	28	
1.174076e-01	1.160727e-01	2.909150e-01	3.521151e-01	1.158398e-03	28	
1.455854e-02	1.471564e-02	3.924226e-02	3.475061e-02	9.886397e-04	26	
1.455854e-02	1.471564e-02	3.924226e-02	3.475061e-02	9.886397e-04	26	
8.735399e-02	9.370801e-02	5.927207e-02	1.421655e-01	1.007322e-03	25	
5.493753e-03	7.485197e-03	5.925975e-01	6.807281e-01	9.675155e-04	23	
5.493753e-03	7.485197e-03	5.925975e-01	6.807281e-01	9.675155e-04	23	
5.493753e-03	7.485197e-03	5.925975e-01	6.807281e-01	9.675155e-04	23	
6.023875e-03	5.588052e-03	7.288651e-01	7.348203e-01	9.798803e-04	23	
2.835879e-02	3.437638e-02	7.170288e-01	7.595042e-01	9.473759e-04	22	
6.098776e-02	5.268739e-02	7.419862e-01	6.796207e-01	1.001548e-03	20	
7.511643e-02	5.392739e-02	7.645568e-01	6.517305e-01	1.038620e-03	21	
5.436384e-02	4.744659e-02	2.709378e-01	1.211465e-01	1.062350e-03	21	
4.603256e-02	5.387606e-02	3.769737e-01	4.225395e-01	1.029983e-03	22	
4.603256e-02	5.387606e-02	3.769737e-01	4.225395e-01	1.029983e-03	22	
1.068674e-02	1.373108e-02	3.286587e-01	4.110569e-01	1.025843e-03	24	
1.495152e-02	1.483090e-02	5.263356e-01	5.009637e-01	1.047955e-03	22	
1.495152e-02	1.483090e-02	5.263356e-01	5.009637e-01	1.047955e-03	22	
2.035734e-02	2.703495e-02	6.525145e-01	7.531300e-01	1.149031e-03	22	
1.041994e-02	8.994651e-03	6.616691e-01	5.312986e-01	1.168278e-03	21	
1.041994e-02	8.994651e-03	6.616691e-01	5.312986e-01	1.168278e-03	21	
1.041994e-02	8.994651e-03	6.616691e-01	5.312986e-01	1.168278e-03	21	
1.041994e-02	8.994651e-03	6.616691e-01	5.312986e-01	1.168278e-03	21	
1.891077e-02	2.779464e-02	7.694180e-01	8.403567e-01	1.112503e-03	21	
1.806451e-02	1.629481e-02	5.876381e-01	6.012264e-01	1.109998e-03	21	
8.870886e-03	9.144071e-03	5.524807e-01	6.170159e-01	1.089767e-03	22	
8.870886e-03	9.144071e-03	5.524807e-01	6.170159e-01	1.089767e-03	22	
9.949082e-03	1.248151e-02	3.660472e-01	5.357037e-01	1.051219e-03	21	
2.488386e-02	2.523758e-02	6.868670e-02	7.322178e-02	1.131816e-03	20	
6.589005e-02	7.196064e-02	4.301409e-02	6.069587e-02	1.096529e-03	21	
1.752014e-03	2.009294e-03	4.952437e-02	1.157718e-01	1.185640e-03	18	
1.410253e-02	1.223587e-02	4.896234e-02	5.949596e-02	1.188756e-03	19	
1.410253e-02	1.223587e-02	4.896234e-02	5.949596e-02	1.188756e-03	19	
2.148640e-02	2.267630e-02	9.138480e-02	8.145478e-02	1.159537e-03	19	
7.765446e-04	8.538354e-04	8.588125e-02	1.236124e-01	1.139078e-03	19	
2.052480e-02	1.852459e-02	2.865434e-01	3.178648e-01	1.125385e-03	18	
1.312812e-02	1.201384e-02	2.479959e-01	2.429228e-01	1.165887e-03	20	
1.332472e-01	1.231861e-01	5.623550e-02	3.160339e-02	1.164812e-03	20	
8.986342e-02	8.498423e-02	1.559916e-01	1.674704e-01	1.127668e-03	22	
1.243882e-02	1.348305e-02	6.727451e-02	6.605419e-02	1.141788e-03	23	
1.243882e-02	1.348305e-02	6.727451e-02	6.605419e-02	1.141788e-03	23	
1.243882e-02	1.348305e-02	6.727451e-02	6.605419e-02	1.141788e-03	23	
1.758142e-03	1.991329e-03	7.855407e-02	7.829311e-02	1.204002e-03	21	
2.791005e-02	2.632416e-02	1.962325e-01	1.859109e-01	1.135621e-03	22	
3.794830e-03	3.933802e-03	2.034817e-01	2.482155e-01	1.113563e-03	22	
3.849084e-02	3.974675e-02	2.240705e-01	3.131944e-01	1.138340e-03	21	
1.518611e-02	1.661946e-02	1.533044e-02	1.091293e-02	1.189984e-03	20	
2.189099e-02	2.291877e-02	4.051295e-01	4.777000e-01	1.245775e-03	20	
1.154953e-02	1.111905e-02	2.112112e-01	2.348133e-01	1.188232e-03	18	
1.154953e-02	1.111905e-02	2.112112e-01	2.348133e-01	1.188232e-03	18	
3.601057e-02	2.706958e-02	3.915196e-01	2.389484e-01	1.178711e-03	19	
4.353046e-02	4.809849e-02	3.339153e-01	3.635326e-01	1.162966e-03	20	
5.617820e-02	6.114399e-02	1.653102e-01	2.772375e-01	1.168708e-03	22	
1.385992e-02	1.623668e-02	4.594306e-01	4.472421e-01	1.167309e-03	22	
7.236026e-03	6.123569e-03	3.658918e-01	3.210676e-01	1.217523e-03	21	
7.236026e-03	6.123569e-03	3.658918e-01	3.210676e-01	1.217523e-03	21	
1.739486e-02	1.975511e-02	5.945462e-01	6.165912e-01	1.187170e-03	20	
5.308822e-03	2.397186e-03	8.626479e-01	6.748742e-01	1.203309e-03	19	
5.308822e-03	2.397186e-03	8.626479e-01	6.748742e-01	1.203309e-03	19	
2.675476e-02	2.500164e-02	4.792063e-01	4.928776e-01	1.268484e-03	20	
1.923292e-02	1.907803e-02	3.527541e-01	2.897595e-01	1.253933e-03	20	
6.046802e-02	6.109144e-02	2.809843e-01	2.681532e-01	1.264944e-03	20	
3.926798e-02	3.975711e-02	5.747525e-01	6.075713e-01	1.241804e-03	19	
1.811355e-02	2.057265e-02	3.096256e-01	3.835741e-01	1.187675e-03	17	
8.154856e-02	6.749182e-02	3.842643e-01	3.684012e-01	1.104751e-03	17	
8.872646e-03	7.113787e-03	3.928533e-01	2.571897e-01	1.153167e-03	16	
8.872646e-03	7.113787e-03	3.928533e-01	2.571897e-01	1.153167e-03	16	
1.522862e-02	1.369329e-02	5.164388e-01	4.416444e-01	1.182010e-03	17	
9.984316e-03	8.195322e-03	3.819187e-01	2.115701e-01	1.172650e-03	18	
9.926253e-02	9.104498e-02	1.475520e-01	1.812847e-01	1.151569e-03	19	
5.406828e-02	5.370487e-02	5.603550e-02	2.782407e-02	1.095130e-03	20	
2.464760e-02	2.498198e-02	8.403705e-02	1.022076e-01	1.040926e-03	20	
4.429498e-02	5.631122e-02	2.165509e-01	4.178517e-01	1.075014e-03	21	
3.595572e-02	3.330644e-02	2.535146e-01	1.787118e-01	1.032173e-03	19	
1.484668e-01	1.326239e-01	6.985091e-02	5.921174e-02	1.062959e-03	18	
5.231413e-02	4.892585e-02	2.969299e-01	2.400150e-01	1.075117e-03	17	
1.299639e-02	1.109173e-02	4.982255e-01	3.644913e-01	1.110517e-03	16	
2.661817e-03	2.022780e-03	3.165758e-01	2.081465e-01	1.136246e-03	15	
2.661817e-03	2.022780e-03	3.165758e-01	2.081465e-01	1.136246e-03	15	
2.661817e-03	2.022780e-03	3.165758e-01	2.081465e-01	1.136246e-03	15	
4.224619e-02	2.934406e-02	6.257673e-01	4.814967e-01	1.125063e-03	16	
3.456597e-02	3.096523e-02	4.433669e-01	2.201991e-01	1.128489e-03	15	
3.456597e-02	3.096523e-02	4.433669e-01	2.201991e-01	1.128489e-03	15	
2.476549e-02	1.830598e-02	5.040271e-01	4.581942e-01	1.170388e-03	17	
4.901661e-02	3.116504e-02	6.479048e-01	4.875371e-01	1.170858e-03	19	
3.306098e-03	2.854621e-03	8.007917e-01	7.460246e-01	1.195750e-03	19	
3.306098e-03	2.854621e-03	8.007917e-01	7.460246e-01	1.195750e-03	19	
5.056804e-02	3.577746e-02	9.975166e-01	9.972553e-01	1.222079e-03	20	
4.399307e-02	4.567524e-02	8.168723e-01	8.084834e-01	1.209449e-03	19	
3.414607e-02	2.622065e-02	5.923664e-01	4.952065e-01	1.204144e-03	18	
3.413247e-02	2.888187e-02	2.967040e-01	1.926731e-01	1.231549e-03	19	
4.116299e-02	4.449922e-02	2.891097e-01	3.833449e-01	1.169070e-03	20	
2.409791e-02	2.194229e-02	1.036464e-01	2.228061e-01	1.116001e-03	22	
7.462883e-02	7.362042e-02	2.587239e-01	2.564779e-01	1.113524e-03	21	
4.885625e-02	5.078986e-02	6.040356e-01	5.942315e-01	1.208773e-03	21	
1.808461e-03	2.159434e-03	4.148888e-01	5.091236e-01	1.281679e-03	22	
1.144249e-01	1.330192e-01	1.600841e-01	1.169168e-01	1.236559e-03	22	
2.031325e-02	2.035308e-02	5.639366e-02	9.714444e-02	1.269569e-03	22	
1.085165e-01	9.933927e-02	3.128939e-01	3.213711e-01	1.255353e-03	23	
2.604856e-02	1.842611e-02	5.229965e-01	4.483517e-01	1.208135e-03	22	
5.029207e-02	6.075069e-02	5.652794e-01	5.579806e-01	1.299988e-03	23	
7.638397e-02	6.275486e-02	7.148415e-01	5.768646e-01	1.262412e-03	22	
7.071266e-02	8.566049e-02	9.360040e-01	9.434177e-01	1.264974e-03	22	
1.684881e-02	2.085912e-02	9.147773e-01	9.268484e-01	1.287813e-03	23	
3.224952e-03	3.710209e-03	9.253809e-01	9.295981e-01	1.319554e-03	23	
1.081235e-02	1.666128e-02	8.801906e-01	9.275798e-01	1.339642e-03	25	
8.455308e-02	7.452553e-02	6.557419e-01	5.950435e-01	1.276196e-03	25	
2.585384e-02	2.609701e-02	9.998227e-01	9.998415e-01	1.283255e-03	27	
2.585384e-02	2.609701e-02	9.998227e-01	9.998415e-01	1.283255e-03	27	
1.433558e-02	2.430494e-02	9.663059e-01	9.796971e-01	1.292471e-03	27	
1.433558e-02	2.430494e-02	9.663059e-01	9.796971e-01	1.292471e-03	27	
1.038063e-02	1.286921e-02	8.583778e-01	8.879446e-01	1.330857e-03	26	
1.982178e-02	2.201413e-02	7.282201e-01	7.652976e-01	1.292660e-03	27	
5.500351e-02	5.908473e-02	7.284105e-01	7.838841e-01	1.268721e-03	26	
6.065279e-02	5.958392e-02	8.894444e-01	8.932680e-01	1.247300e-03	25	
2.871837e-02	2.070971e-02	6.436844e-01	4.932059e-01	1.234126e-03	23	
6.616331e-02	6.009666e-02	7.944791e-01	7.775795e-01	1.284647e-03	22	
1.972178e-02	3.128835e-02	7.314157e-01	8.187582e-01	1.311809e-03	23	
2.336579e-02	1.992405e-02	6.898825e-01	6.352078e-01	1.151782e-03	23	
7.578649e-02	7.442144e-02	5.741637e-01	5.652566e-01	1.195148e-03	26	
6.396857e-02	8.786516e-02	6.750597e-01	7.584289e-01	1.189672e-03	25	
3.633577e-02	3.987018e-02	9.714934e-01	9.757761e-01	1.077956e-03	23	
5.202610e-02	4.227608e-02	8.920226e-01	8.780313e-01	1.028423e-03	22	
2.516944e-02	2.443478e-02	9.702512e-01	9.672344e-01	1.007281e-03	21	
1.722406e-02	2.664805e-02	8.700158e-01	9.207988e-01	9.883411e-04	22	
1.611095e-02	2.337662e-02	8.915831e-01	9.346707e-01	9.780862e-04	20	
1.966543e-02	1.951548e-02	6.652967e-01	6.435722e-01	1.033126e-03	18	
5.023626e-02	5.617703e-02	5.855206e-01	6.684928e-01	1.030500e-03	14	
5.605083e-02	3.179555e-02	6.814273e-01	4.207504e-01	9.816810e-04	13	
5.175908e-02	3.580723e-02	4.756607e-01	3.025400e-01	9.995462e-04	11	
5.141259e-02	3.392609e-02	4.092030e-01	1.844845e-01	9.659654e-04	13	
5.677010e-02	5.237574e-02	4.910011e-01	4.458409e-01	9.555110e-04	14	
1.103913e-01	6.987437e-02	7.607886e-01	6.636573e-01	9.692618e-04	14	
6.531241e-03	1.222929e-02	9.674216e-01	9.815639e-01	9.252875e-04	15	
6.531241e-03	1.222929e-02	9.674216e-01	9.815639e-01	9.252875e-04	15	
6.531241e-03	1.222929e-02	9.674216e-01	9.815639e-01	9.252875e-04	15	
6.531241e-03	1.222929e-02	9.674216e-01	9.815639e-01	9.252875e-04	15	
2.148242e-03	1.642287e-03	8.203598e-01	7.514016e-01	8.945557e-04	14	
2.148242e-03	1.642287e-03	8.203598e-01	7.514016e-01	8.945557e-04	14	
2.148242e-03	1.642287e-03	8.203598e-01	7.514016e-01	8.945557e-04	14	
5.075931e-02	3.523764e-02	6.865458e-01	4.878770e-01	9.320417e-04	13	
2.873637e-03	2.281027e-03	6.035421e-01	5.604717e-01	8.873551e-04	14	
5.039598e-02	3.808833e-02	6.591433e-01	5.052018e-01	8.998784e-04	15	
1.146677e-02	1.012536e-02	5.212898e-01	5.365581e-01	9.457358e-04	16	
7.073654e-02	4.843621e-02	4.987845e-01	2.746981e-01	9.448072e-04	15	
6.163051e-03	4.629427e-03	6.680068e-01	5.503655e-01	9.620836e-04	16	
6.163051e-03	4.629427e-03	6.680068e-01	5.503655e-01	9.620836e-04	16	
6.163051e-03	4.629427e-03	6.680068e-01	5.503655e-01	9.620836e-04	16	
5.991749e-02	5.544849e-02	1.566126e-01	1.437267e-01	9.686809e-04	12	
2.081444e-02	2.153673e-02	1.138301e-03	1.052414e-03	9.568291e-04	14	
2.942902e-02	2.876092e-02	1.462408e-01	1.241108e-01	9.175718e-04	15	
2.610168e-02	2.943109e-02	7.612283e-02	1.294874e-01	9.057218e-04	15	
2.610168e-02	2.943109e-02	7.612283e-02	1.294874e-01	9.057218e-04	15	
2.610168e-02	2.943109e-02	7.612283e-02	1.294874e-01	9.057218e-04	15	
8.314287e-03	1.147398e-02	2.262398e-01	4.136755e-01	9.041311e-04	17	
